Freeze,Bill Code,Contract Code,Job,Phase,Name,Shared Saving,Category,Phase Type,Type,Method,Current Cost Budget,Spent/Committed Against Base Contract,Spent/Committed Total,Actual Cost,Spent/Committed (In Scope),Complete %,Pending Internal PCI,Pending Internal PCI Cost To Complete,Pending External PCI Cost To Complete,Cost to Complete,Cost to Complete Override,Projected Cost Forecast,Projected Cost Forecast Override,Cost Variance,Pending CO,Pending CO (Incl. Risk),Projected Cost Budget,Spent/Committed (Pending CO),Cost To Complete (Pending CO),Proj Cost Forecast (Incl. Pending CO),Projected Cost Forecast (Incl Pending CO) Override,Cost Variance (Incl Pending CO),Current Bill Budget,Pending CO.1,Original Cost<br/> Budget Amount,Original Bill<br/> Budget Amount,Pending CO (Incl. Risk).1,Projected Bill Budget,Billed To Date,Revenue Forecast,Revenue Forecast Override,Revenue Variance,Adj Rev Forecast,Projected Profit,Current Period Cost,Previous Period Cost,Last Period  Forecast,Cost Forercast /<br>Variance,Current Period  Changes,Previous Period  Changes,Current Period  Commitments,Previous Period  Commitments,Shared Saving Amt,Profit Incl Shared Saving,Pending PCI including Risk (revenue),Pending PCI including Risk (Cost),WIP Projected cost forecast including Risk,WIP Projected cost forecast,WIP Revenue amount,WIP adjusted Revenue amount,Adj Rev Forecast <br/> Variance,Billed Budget Qty,Billed Completed Qty,Billed Remaining Qty,Billed Projected Qty,Input Budget Qty,Input Completed Qty,Input Remaining Qty,Input Projected Qty,Input WM Code,Output Budget Qty,Output Completed Qty,Output Remaining Qty,Output Projected Qty,Output WM Code,Committed Amount,Committed Remaining Amount,Spent Against Commitment Amount,Total Cost to Complete Amt,Notes
Y,IPCRP1-0560-1000-C,IPCRP1,IPCRP1,0560-1000,Carbon Fiber Excavation & Support,N,C,,NR,P,80000.0,41010.16,41010.16,41010.16,41010.16,100.0,0,0,0,0.0,Y,41010.16,Y,38989.84,0,0,80000.0,0,0,41010.16,Y,38989.84,0.0,0,80000.0,0.0,0,0.0,0.0,0,N,0.0,0,-41010.16,0.0,0.0,41010.16,0.0,0,0,0.0,0.0,0,-41010.16,0,0,41010.16,41010.16,0,0,0.0,0.0,0.0,0.0,,0.0,538.0,0.0,538.0,,250.0,183.0,0.0,183.0,DY,19117.27,-16280.44,35397.71,0.0,
Y,IPCRP1-0560-1000-E,IPCRP1,IPCRP1,0560-1000,Carbon Fiber Excavation & Support,N,E,,NR,P,365391.0,0.0,-1457.64,0.0,0.0,0.0,0,0,0,0.0,Y,0.0,Y,365391.0,0,0,365391.0,0,0,0.0,Y,365391.0,0.0,0,365391.0,0.0,0,0.0,0.0,0,N,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,145.0,0.0,145.0,,250.0,183.0,0.0,183.0,DY,-1457.64,-1457.64,0.0,0.0,This note will be deleted when NASSAU SLING PO will be removed from category E to C.
Y,IPCRP1-0560-1000-L,IPCRP1,IPCRP1,0560-1000,Carbon Fiber Excavation & Support,N,L,,NR,P,1786721.0,30029.05,30029.05,30029.05,30029.05,100.0,0,0,0,0.0,Y,30029.05,Y,1756691.95,0,0,1786721.0,0,0,30029.05,Y,1756691.95,0.0,0,1786721.0,0.0,0,0.0,0.0,0,N,0.0,0,-30029.05,0.0,0.0,30029.05,0.0,0,0,0.0,0.0,0,-30029.05,0,0,30029.05,30029.05,0,0,0.0,16600.0,0.0,263.5,263.5,16600.0,263.5,0.0,263.5,HR,250.0,183.0,0.0,183.0,DY,0.0,0.0,0.0,0.0,"PMF reduced to 3750 MH and $450K total cost for labor, $80K for Consumable ($530K total) on May'22 forecast."
Y,IPCRP1-0560-1010-L,IPCRP1,IPCRP1,0560-1010,Carbon Fiber Wrap Sub (CTI),N,L,,UNIT,P,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,N,0.0,N,0.0,0,0,0.0,0,0,0.0,N,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,N,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HR,2000.0,2000.0,0.0,2000.0,LF,0.0,0.0,0.0,0.0,
Y,IPCRP1-0560-1010-S,IPCRP1,IPCRP1,0560-1010,Carbon Fiber Wrap Sub (CTI),N,S,,NR,A,38368425.0,28657196.26,28657196.26,28657196.26,28657196.26,100.0,0,0,0,0.0,Y,28657196.26,Y,9711228.74,0,0,38368425.0,0,0,28657196.26,Y,9711228.74,0.0,0,38368425.0,0.0,0,0.0,0.0,0,N,0.0,0,-28657196.26,0.0,0.0,28657196.26,0.0,0,0,0.0,0.0,0,-28657196.26,0,0,28657196.26,28657196.26,0,0,0.0,0.0,0.0,0.0,,0.0,4226.0,-974.44,3251.56,,2000.0,2000.0,0.0,2000.0,LF,28657196.26,0.0,28657196.26,0.0,"Composite Technology & Infrastructure, (CTI) (Carbon Fiber Wrap) $ 295M + CO @$17,830.98 under JB 900 CE (seq#0663), Pinnacle Environmental @$170,948.80 Pinnacle CO Additional ACM scope requested by ConEd (T&M) to be paid under JB item"
Y,IPCRP1-0561-0000-L,IPCRP1,IPCRP1,0561-0000,EXTRA DEPTH EXCAV OF CB CHUTE CONN PIPES,N,L,,UNIT,P,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,N,0.0,N,0.0,0,0,0.0,0,0,0.0,N,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,N,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HR,0.0,0.0,0.0,0.0,LF,0.0,0.0,0.0,0.0,
Y,IPCRP1-0561-0000-R,IPCRP1,IPCRP1,0561-0000,EXTRA DEPTH EXCAV OF CB CHUTE CONN PIPES,N,R,,UNIT,P,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,N,0.0,N,0.0,0,0,0.0,0,0,0.0,N,0.0,16500.0,0,0.0,16500.0,0,16500.0,0.0,0,N,16500.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,16500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,LF,0.0,0.0,0.0,0.0,
Y,IPCRP1-0561-1000-E,IPCRP1,IPCRP1,0561-1000,Extra Depth Excav of CB Chute Conn Pipes,N,E,,NR,P,1481.69,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,Y,0.0,Y,1481.69,0,0,1481.69,0,0,0.0,Y,1481.69,0.0,0,1481.69,0.0,0,0.0,0.0,0,N,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,110.0,0.0,110.0,110.0,LF,0.0,0.0,0.0,0.0,
Y,IPCRP1-0561-1000-L,IPCRP1,IPCRP1,0561-1000,Extra Depth Excav of CB Chute Conn Pipes,N,L,,NR,P,8080.48,0.0,0.0,0.0,0.0,0.0,0,0,0,8080.48,N,8080.48,N,0.0,0,0,8080.48,0,0,8080.48,N,0.0,0.0,0,8080.48,0.0,0,0.0,0.0,0,N,0.0,0,-8080.48,0.0,0.0,8080.48,0.0,0,0,0.0,0.0,0,-8080.48,0,0,8080.48,8080.48,0,0,0.0,64.0,0.0,64.0,64.0,64.0,0.0,64.0,64.0,HR,110.0,0.0,110.0,110.0,LF,0.0,0.0,0.0,8080.48,
Y,IPCRP1-0562-0000-L,IPCRP1,IPCRP1,0562-0000,INST & REM OF CB W/ UTIL INTERFERENCE,N,L,,UNIT,P,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,N,0.0,N,0.0,0,0,0.0,0,0,0.0,N,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,N,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HR,0.0,0.0,0.0,0.0,EA,0.0,0.0,0.0,0.0,
